mode	error	time/s	<Ewe/V>	
3	0	3.049999922950519E+002	-1.7487646E+000
3	0	3.054999922824209E+002	-1.7462922E+000
3	0	3.059999922697898E+002	-1.7414016E+000
3	0	3.064999922571587E+002	-1.7370492E+000
3	0	3.069999922445277E+002	-1.7414258E+000
3	0	3.074999922318966E+002	-1.7466180E+000
3	0	3.079999922192656E+002	-1.7454369E+000
3	0	3.084999922066345E+002	-1.7474271E+000
3	0	3.089999921940034E+002	-1.7495203E+000
3	0	3.094999921813724E+002	-1.7557678E+000
3	0	3.099999921687413E+002	-1.7607387E+000
3	0	3.104999921561102E+002	-1.7559420E+000
3	0	3.109999921434792E+002	-1.7488191E+000
3	0	3.114999921308481E+002	-1.7470890E+000
3	0	3.119999921182171E+002	-1.7504252E+000
3	0	3.124999921055860E+002	-1.7503487E+000
3	0	3.129999920929549E+002	-1.7479758E+000
3	0	3.134999920803239E+002	-1.7469834E+000
3	0	3.139999920676928E+002	-1.7472137E+000
3	0	3.144999920550617E+002	-1.7527561E+000
3	0	3.149999920424307E+002	-1.7540497E+000
3	0	3.154999920297996E+002	-1.7582356E+000
3	0	3.159999920171686E+002	-1.7606593E+000
3	0	3.164999920045375E+002	-1.7576696E+000
3	0	3.169999919919064E+002	-1.7559640E+000
3	0	3.174999919792754E+002	-1.7538832E+000
3	0	3.179999919666443E+002	-1.7519065E+000
3	0	3.184999919540132E+002	-1.7514795E+000
3	0	3.189999919413822E+002	-1.7548485E+000
3	0	3.194999919287511E+002	-1.7494245E+000
3	0	3.199999919161201E+002	-1.7429841E+000
3	0	3.204999919034890E+002	-1.7401024E+000
3	0	3.209999918908579E+002	-1.7386569E+000
3	0	3.214999918782269E+002	-1.7373830E+000
3	0	3.219999918655958E+002	-1.7383540E+000
3	0	3.224999918529647E+002	-1.7344338E+000
3	0	3.229999918403337E+002	-1.7287098E+000
3	0	3.234999918277026E+002	-1.7352595E+000
3	0	3.239999918150716E+002	-1.7355107E+000
3	0	3.244999918024405E+002	-1.7347885E+000
3	0	3.249999917898094E+002	-1.7448999E+000
3	0	3.254999917771784E+002	-1.7462932E+000
3	0	3.259999917645473E+002	-1.7457957E+000
3	0	3.264999917519162E+002	-1.7467169E+000
3	0	3.269999917392852E+002	-1.7486863E+000
